Common Name,Scientific Name,Coral Type,Family,Difficulty,Lighting,Water Flow,Aggressiveness,Minimum Tank Size (gal),Placement,Growth Rate,Maximum Colony Size (in),Reef Safe,Photosynthetic
Purple Tip Clove Polyps,Clavularia sp.,Soft Coral,Clavulariidae,Easy,Moderate,Moderate,Low,10,Any,Fast,24,Yes,Yes
Radioactive Green Star Polyps,Pachyclavularia violacea,Soft Coral,Briareidae,Easy,Moderate,Moderate,Moderate,10,Any,Fast,24,Yes,Yes
Green Bubble Coral,Plerogyra sinuosa,LPS,Euphylliidae,Moderate,Low,Low,Moderate,30,Lower,Moderate,18,Yes,Yes
Pearl Bubble Coral,Physogyra lichtensteini,LPS,Euphylliidae,Moderate,Low,Low,Moderate,30,Lower,Moderate,18,Yes,Yes
Grape Coral,Euphyllia cristata,LPS,Euphylliidae,Moderate,Moderate,Low,High,30,Middle,Moderate,18,Yes,Yes
Fox Flame Bubble Coral,Plerogyra simplex,LPS,Euphylliidae,Moderate,Low,Low,Moderate,30,Lower,Moderate,12,Yes,Yes
Orange Blastomussa,Blastomussa wellsi,LPS,Merulinidae,Moderate,Low,Low,Low,20,Lower,Slow,10,Yes,Yes
Red Blastomussa,Blastomussa merleti,LPS,Merulinidae,Easy,Low,Low,Low,20,Lower,Slow,8,Yes,Yes
Ultra Blastomussa,Blastomussa wellsi,LPS,Merulinidae,Moderate,Low,Low,Low,20,Lower,Slow,10,Yes,Yes
Aussie Micromussa,Micromussa lordhowensis,LPS,Lobophylliidae,Moderate,Low,Low,Low,20,Lower,Moderate,12,Yes,Yes
Rainbow Micromussa,Micromussa amakusensis,LPS,Lobophylliidae,Moderate,Low,Low,Low,20,Lower,Slow,10,Yes,Yes
Orange Micromussa,Micromussa lordhowensis,LPS,Lobophylliidae,Moderate,Low,Low,Low,20,Lower,Moderate,12,Yes,Yes
Maze Favia,Favia favus,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,24,Yes,Yes
Closed Brain Coral,Favia rotumana,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,18,Yes,Yes
Prism Favia,Favia speciosa,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,18,Yes,Yes
Pineapple Brain Coral,Favites complanata,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,24,Yes,Yes
Star Coral,Diploastrea heliopora,LPS,Diploastreidae,Moderate,Moderate,Moderate,Low,30,Middle,Slow,24,Yes,Yes
Lettuce Coral,Agaricia agaricites,SPS,Agariciidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Elephant Skin Coral,Pachyseris rugosa,SPS,Agariciidae,Moderate,Moderate,Moderate,Low,30,Middle,Slow,24,Yes,Yes
Branching Acropora,Acropora robusta,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Fast,36,Yes,Yes
Deepwater Acropora,Acropora lokani,SPS,Acroporidae,Difficult,Moderate,High,Low,50,Upper,Moderate,24,Yes,Yes
Blue Tort Acropora,Acropora tortuosa,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
Purple Monster Acropora,Acropora valida,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
Tri-Color Acropora,Acropora valida,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
Yellow Tenuis Acropora,Acropora tenuis,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
Hawkins Blue Echinata,Acropora echinata,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,18,Yes,Yes
Purple Bonsai Acropora,Acropora valida,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
Green Pocillopora,Pocillopora damicornis,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Fast,18,Yes,Yes
Yellow Pocillopora,Pocillopora verrucosa,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Fast,18,Yes,Yes
Pink Stylocoeniella,Stylocoeniella armata,SPS,Stylocoeniellidae,Moderate,High,High,Low,30,Upper,Moderate,18,Yes,Yes
Green Leptoseris,Leptoseris scabra,SPS,Agariciidae,Moderate,Low,Low,Low,20,Lower,Slow,18,Yes,Yes
Orange Leptoseris,Leptoseris yabei,SPS,Agariciidae,Moderate,Low,Low,Low,20,Lower,Slow,18,Yes,Yes
Blue Chalice,Oxypora lacera,LPS,Lobophylliidae,Moderate,Low,Low,Moderate,30,Lower,Slow,18,Yes,Yes
Space Invader Pectinia,Pectinia paeonia,LPS,Pectiniidae,Moderate,Low,Moderate,High,30,Lower,Moderate,18,Yes,Yes
Green Pectinia,Pectinia lactuca,LPS,Pectiniidae,Moderate,Low,Moderate,High,30,Lower,Moderate,18,Yes,Yes
Branching Pectinia,Pectinia alcicornis,LPS,Pectiniidae,Moderate,Low,Moderate,High,30,Lower,Moderate,18,Yes,Yes
Orange Oxypora,Oxypora glabra,LPS,Lobophylliidae,Moderate,Low,Low,Moderate,30,Lower,Slow,18,Yes,Yes
Neon Green Cynarina,Cynarina lacrymalis,LPS,Lobophylliidae,Moderate,Low,Low,Low,30,Sand Bed,Slow,12,Yes,Yes
Button Coral,Cynarina lacrymalis,LPS,Lobophylliidae,Moderate,Low,Low,Low,30,Sand Bed,Slow,12,Yes,Yes
Aussie Cynarina,Cynarina deshayesiana,LPS,Lobophylliidae,Moderate,Low,Low,Low,30,Sand Bed,Slow,12,Yes,Yes
Orange Cynarina,Cynarina lacrymalis,LPS,Lobophylliidae,Moderate,Low,Low,Low,30,Sand Bed,Slow,12,Yes,Yes
Beaded Sea Anemone,Heteractis aurora,Anemone,Stichodactylidae,Moderate,Moderate,Moderate,Low,75,Sand Bed,Moderate,12,Yes,Yes
Merten's Carpet Anemone,Stichodactyla mertensii,Anemone,Stichodactylidae,Difficult,High,Moderate,Low,180,Sand Bed,Slow,48,Yes,Yes
Gigantic Carpet Anemone,Stichodactyla gigantea,Anemone,Stichodactylidae,Difficult,High,High,Low,180,Sand Bed,Slow,36,Yes,Yes
Condylactis Anemone,Condylactis gigantea,Anemone,Actiniidae,Moderate,Moderate,Moderate,Moderate,50,Sand Bed,Moderate,20,With Caution,Yes
Curlicue Anemone,Bartholomea annulata,Anemone,Aiptasiidae,Easy,Moderate,Moderate,Low,30,Rockwork,Moderate,8,With Caution,Yes
Rose Bubble Tip Anemone,Entacmaea quadricolor,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,30,Rockwork,Moderate,12,Yes,Yes
Rainbow Bubble Tip Anemone,Entacmaea quadricolor,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,30,Rockwork,Moderate,12,Yes,Yes
Colorado Sunburst Bubble Tip Anemone,Entacmaea quadricolor,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,30,Rockwork,Moderate,12,Yes,Yes
Black Widow Bubble Tip Anemone,Entacmaea quadricolor,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,30,Rockwork,Moderate,12,Yes,Yes
Inferno Bubble Tip Anemone,Entacmaea quadricolor,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,30,Rockwork,Moderate,12,Yes,Yes
Rainbow Rock Flower Anemone,Phymanthus crucifer,Anemone,Phymanthidae,Easy,Moderate,Low,Low,20,Sand Bed,Slow,6,Yes,Yes
Ultra Rock Flower Anemone,Phymanthus crucifer,Anemone,Phymanthidae,Easy,Moderate,Low,Low,20,Sand Bed,Slow,6,Yes,Yes
Electric Rock Flower Anemone,Phymanthus crucifer,Anemone,Phymanthidae,Easy,Moderate,Low,Low,20,Sand Bed,Slow,6,Yes,Yes
Purple Tip Condylactis,Condylactis gigantea,Anemone,Actiniidae,Moderate,Moderate,Moderate,Moderate,50,Sand Bed,Moderate,20,With Caution,Yes
Giant Caribbean Anemone,Condylactis gigantea,Anemone,Actiniidae,Moderate,Moderate,Moderate,Moderate,50,Sand Bed,Moderate,20,With Caution,Yes
Curly Tentacle Anemone,Macrodactyla doreensis,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,50,Sand Bed,Moderate,20,Yes,Yes
Green Bubble Tip Anemone,Entacmaea quadricolor,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,30,Rockwork,Moderate,12,Yes,Yes
Orange Bubble Tip Anemone,Entacmaea quadricolor,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,30,Rockwork,Moderate,12,Yes,Yes
Rainbow Mini Carpet Anemone,Stichodactyla tapetum,Anemone,Stichodactylidae,Moderate,Moderate,Moderate,Low,20,Rockwork,Slow,8,Yes,Yes
Ultra Mini Carpet Anemone,Stichodactyla tapetum,Anemone,Stichodactylidae,Moderate,Moderate,Moderate,Low,20,Rockwork,Slow,8,Yes,Yes
